MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA

71072,1,10,1015,2031812,26FF0884,20240926T113100,674878741293708885968473,20241006T080001,20241006T171438,331,219,91,34,53,29
71072,1,11,1015,2030597,26FF0884,20240926T113500,644575821290954579611344,20241006T080001,20241006T171430,327,213,100,44,44,15
71072,1,115,1554,1843783,B27D77E3,20240924T172200,270838982751765570861256,20241006T080026,20241006T170409,287,158,67,25,34,17
71072,1,12,1015,2009835,26FF0884,20240926T113900,038414323629623807943811,20241006T080001,20241006T171411,332,219,92,36,51,26
71072,1,127,1554,1785484,B27D77E3,20240924T192400,159626155839000312752230,20241006T080001,20241006T170425,279,169,70,35,39,13
71072,1,133,1090,2305678,82FB2F5F,20240925T172600,735484364818591604394133,20241006T080001,20241006T170243,389,239,111,44,42,19
71072,1,134,1090,2303258,82FB2F5F,20240925T173300,755686498220490756143328,20241006T080001,20241006T170147,384,252,115,47,46,27
71072,1,135,1090,2313490,82FB2F5F,20240925T173700,775888628122791497986568,20241006T080001,20241006T170245,383,242,97,48,50,21
71072,1,136,1090,2284850,82FB2F5F,20240925T174100,927303885937612255548584,20241006T080001,20241006T170208,389,252,114,45,49,23
71072,1,138,1090,2298233,82FB2F5F,20240925T174900,270838450472520455829957,20241006T080027,20241006T170425,389,256,117,41,48,22
71072,1,14,1015,2031483,26FF0884,20240926T125800,907101419316712302963094,20241006T080001,20241006T171400,331,198,89,39,39,20
71072,1,141,1520,2305368,A600A0C1,20240926T152900,785989262173726616782999,20241006T080001,20241006T171053,363,252,107,39,62,26
71072,1,142,1520,2312964,A600A0C1,20240926T153800,068717653901023063161408,20241006T080001,20241006T171003,364,251,104,47,54,32
71072,1,145,1520,2307741,A600A0C1,20240926T155000,493060415344075573041045,20241006T080210,20241006T170938,355,249,112,40,50,25
71072,1,146,1520,2298095,A600A0C1,20240926T155500,291040327624225916693714,20241006T080001,20241006T170854,364,238,110,38,53,18
71072,1,147,1520,2284412,A600A0C1,20240926T160000,280939424123529148813485,20241006T080001,20241006T171001,365,240,98,37,59,33
71072,1,148,1520,2313141,A600A0C1,20240926T160400,604171859755124414259722,20241006T080001,20241006T170858,360,238,105,41,54,23
71072,1,151,1520,2304659,A600A0C1,20240926T161800,321343878527214176499539,20241006T080001,20241006T171053,358,242,99,39,60,29
71072,1,152,1520,2298142,A600A0C1,20240926T162300,806191465275437814341029,20241006T080001,20241006T170500,355,257,115,41,47,36
71072,1,155,1104,2271498,C5CF83D2,20240927T110700,392050385619669706726629,20241006T080001,20241006T171119,343,219,96,34,56,18
71072,1,156,1104,2266052,C5CF83D2,20240927T111100,917202011671852954526739,20241006T080001,20241006T171123,340,231,102,29,58,27
71072,1,158,1104,2304974,C5CF83D2,20240927T111800,998010315079424514149122,20241006T080001,20241006T170959,342,223,105,36,46,19
71072,1,16,1015,2030540,26FF0884,20240926T130500,321343056258586042446822,20241006T080001,20241006T171600,331,228,94,40,44,32
71072,1,161,1104,2258847,C5CF83D2,20240927T113100,654676278745773423220694,20241006T080001,20241006T171231,344,228,106,40,44,30
71072,1,164,1104,2298482,C5CF83D2,20240927T114100,331444287013542227591387,20241006T080001,20241006T171047,343,225,95,44,43,24
71072,1,166,1104,2253186,C5CF83D2,20240927T114800,654676822845351065575598,20241006T080057,20241006T171104,344,217,106,20,35,28
71072,1,168,1104,2267708,C5CF83D2,20240927T115400,088919479088593294499511,20241006T080001,20241006T171001,343,221,108,40,37,28
71072,1,170,1104,2298312,C5CF83D2,20240927T120000,149525726794035635242611,20241006T080001,20241006T170948,342,202,88,26,44,33
71072,1,174,1104,2298471,C5CF83D2,20240927T122600,291040314609788068164114,20241006T080001,20241006T170844,343,241,100,43,61,27
71072,1,176,1104,2278448,C5CF83D2,20240927T123300,735484979853109345556200,20241006T080001,20241006T170944,345,233,101,25,56,33
