MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA

71072,2,136,1090,2254724,811AEC54,20240927T085000,169738124631091835952780,20241006T080001,20241006T171408,393,282,64,53,113,41
71072,2,138,1090,2315596,811AEC54,20240927T090000,644586824779236436279107,20241006T080001,20241006T170125,387,274,57,63,115,25
71072,2,141,1090,2304836,811AEC54,20240927T091100,159637633330908357367065,20241006T080001,20241006T171430,383,253,52,44,108,36
71072,2,142,1090,2254216,811AEC54,20240927T091400,583980176073542723371232,20241006T080001,20241006T171343,384,274,50,55,119,32
71072,2,143,1090,2306990,811AEC54,20240927T091900,139435836828442468405316,20241006T080001,20241006T171402,387,261,53,54,109,27
71072,2,144,1090,2255889,811AEC54,20240927T092300,977819785412959655962104,20241006T080326,20241006T171405,387,267,51,48,113,45
71072,2,146,1090,2255881,811AEC54,20240927T093400,493071523464632331588814,20241006T080054,20241006T171320,382,251,56,39,108,38
71072,2,152,1090,2314951,811AEC54,20240927T100200,937415590608748175949730,20241006T080001,20241006T171310,385,278,47,56,121,38
71072,2,442,1090,2256036,811AEC54,20240927T102700,715293579986053112019574,20241006T080001,20241006T170100,417,294,57,59,120,46
71072,2,545,1597,2255724,AD563EE8,20240928T083800,270849556606679247357539,20241006T080001,20241006T170933,386,239,54,44,100,27
71072,246,113,1058,2051380,95D480F9,20240928T104100,735485226470927382638881,20241006T080001,20241006T170458,235,157,21,46,63,18
71072,246,149,1171,2044497,3051050F,20240926T133700,927304288041595017987238,20241006T080001,20241006T170743,395,233,45,55,100,18
71072,246,346,1368,1833839,6927B36B,20240929T155000,624374835785479211643772,20241006T080151,20241006T170857,371,275,49,72,118,16
71072,246,348,1368,1833879,6927B36B,20240929T162100,563768999579324404854297,20241006T080001,20241006T170835,380,275,49,76,120,18
71072,246,349,1368,1832824,6927B36B,20240929T164400,563768108679718345052588,20241006T080001,20241006T170755,378,264,58,60,111,12
71072,246,350,1368,1832053,6927B36B,20240929T165400,260738882449505680514183,20241006T080213,20241006T170650,375,270,52,64,112,16
71072,246,361,1376,1831130,3B0D95C0,20240929T141200,331445138056859727316557,20241006T080001,20241006T170724,351,276,56,56,121,23
71072,246,362,1376,1833488,3B0D95C0,20240929T143900,674879588090867786746339,20241006T080001,20241006T170712,351,262,50,69,108,17
71072,246,365,1376,1830485,3B0D95C0,20240929T161100,937405175216605411618058,20241006T080001,20241006T170154,350,261,43,72,106,20
71072,246,367,1376,1829213,3B0D95C0,20240929T163400,402152866063465146737879,20241006T080001,20241006T171713,351,264,47,64,114,24
71072,246,387,1384,1674930,F682BFF7,20240929T140100,321344929261689314236423,20241006T080001,20241006T170411,335,253,46,60,103,22
71072,246,450,1457,1815062,5C9F2211,20240928T142300,331445043876921731662103,20241006T080001,20241006T170246,235,165,28,36,70,15
71072,249,330,1317,2336322,0B0F000A,20240927T160000,725317205926059958790413,20241006T080001,20241006T170125,243,163,37,33,66,12
71072,249,46,1783,2344264,7D8BCBA1,20240928T112000,048549983979097614545574,20241006T080001,20241006T170033,191,129,20,35,52,9
71072,249,601,1333,2050376,854B17E0,20240926T111700,775822420271046080041117,20241006T080001,20241006T170549,397,287,38,79,120,24
71072,251,109,1112,2339203,A00B9131,20240930T181700,018265099562628026448297,20241006T080001,20241006T170434,366,234,32,46,112,36
71072,251,111,1112,2362289,A00B9131,20240930T184100,897053169550355080198209,20241006T080001,20241006T170313,366,239,42,50,96,39
71072,251,112,1112,2351824,A00B9131,20240930T184500,583922967519326424342872,20241006T080001,20241006T170040,365,239,37,43,97,42
71072,251,115,1112,2350718,A00B9131,20240930T190000,816245520742953384403515,20241006T080001,20241006T170212,360,229,44,47,93,34
71072,251,121,1120,2345306,66443C2A,20240930T103200,785942128193349324753090,20241006T080001,20241006T170525,287,204,37,42,84,36
71072,251,134,1120,2336511,66443C2A,20240930T104700,018265758216010926690123,20241006T080001,20241006T170046,286,167,25,40,67,23
71072,251,135,1120,2339807,66443C2A,20240930T110000,785942635093049708558260,20241006T080001,20241006T170311,287,152,16,34,65,25
71072,251,137,1120,2344170,66443C2A,20240930T111900,816245888496792131848136,20241006T080001,20241006T170155,285,159,16,33,69,32
71072,251,138,1120,2346337,66443C2A,20240930T112800,634427811778633786996054,20241006T081024,20241006T170326,285,177,35,36,74,21
71072,251,227,1295,2258931,A00B9131,20241001T153900,755639843936194392978589,20241006T080318,20241006T170630,351,258,45,41,106,49
71072,251,25,1120,2339990,66443C2A,20240930T101500,725336418787316391759598,20241006T080001,20241006T170533,288,184,26,29,89,33
71072,251,61,1295,2255898,A00B9131,20241001T150100,381902919799991569171196,20241006T080001,20241006T170617,350,237,41,47,112,30
71072,251,64,1074,2255991,4F3CA5C7,20241001T180100,583922446110527228090757,20241006T080001,20241006T170342,396,288,48,42,116,64
71072,251,73,1074,2262943,4F3CA5C7,20241002T102700,897053713941643304575408,20241006T080001,20241006T170425,394,278,41,49,126,51
71072,251,75,1074,2339805,4F3CA5C7,20241002T105000,897053934341422131640152,20241006T080001,20241006T170424,399,303,50,37,130,66
71072,253,271,1287,2363082,3A529F26,20240924T114600,311217096973606828315932,20241006T080001,20241006T170339,335,184,37,46,76,9
71072,254,412,1236,2064436,C9506BEA,20240926T130000,321329976755239566560837,20241006T080437,20241006T170219,338,267,47,66,109,24
71072,254,466,1473,1811714,B176488B,20240926T150000,109107549134239798944991,20241006T080001,20241006T170054,381,289,48,77,119,7
71072,254,479,1511,1810651,409189C9,20240928T160100,654662494731140158108405,20241006T080001,20241006T170232,373,257,54,46,115,14
71072,254,98,1082,2350859,DCDFD780,20240927T122100,291026801590437376946054,20241006T080001,20241006T170139,286,202,29,48,86,9
71072,255,484,1449,2047240,7D24072F,20240927T134900,189926540176175855289882,20241006T080001,20241006T170142,404,296,44,79,123,25
71072,255,501,1244,2050816,19F03992,20240927T163800,654673215969819599736945,20241006T080001,20241006T170137,387,244,52,40,108,16
71072,258,102,1074,2046245,65E35C13,20240926T180300,917232221000587749144416,20241006T080001,20241006T170616,283,172,30,39,70,17
71072,258,150,1244,2266637,EA5027B3,20240927T131800,796020236973447913884949,20241006T080001,20241006T170720,390,280,44,62,113,45
71072,258,151,1244,2364630,EA5027B3,20240927T132200,644505198058968446568458,20241006T080001,20241006T170021,395,265,37,58,115,37
71072,258,158,1120,2360572,EA5027B3,20240927T115600,493090818443148537785992,20241006T080001,20241006T170323,445,284,43,88,121,16
71072,258,160,1120,2357450,EA5027B3,20240927T120300,482989998842589993463614,20241006T080437,20241006T170306,392,262,50,57,105,28
71072,258,201,1147,1815777,6730A981,20240929T135400,220363513222133473416357,20241006T081156,20241006T170833,282,189,33,40,78,28
71072,258,207,1147,1823331,6730A981,20240929T145900,250666200225624325015967,20241006T080001,20241006T170749,286,188,23,49,79,23
71072,258,212,1155,1823385,2DE11260,20240929T105700,008141476837793072552574,20241006T080001,20241006T170051,305,196,35,40,80,21
71072,258,221,1155,1821368,2DE11260,20240929T123900,967737395133930626141027,20241006T080320,20241006T170346,373,241,42,58,99,26
71072,258,248,1171,2355796,8C795D6D,20240925T142300,836424172446155365030384,20241006T080001,20241006T170040,360,245,44,54,100,34
71072,258,359,1449,2346223,8E99440D,20240925T182200,381979993895076538895046,20241006T080001,20241006T170820,267,193,21,52,78,26
71072,258,371,1228,2364035,DFCF2E7B,20240924T150100,038444902222050628125361,20241006T080410,20241006T170039,367,190,32,49,85,18
71072,258,398,1325,2056488,9DED7C56,20240925T111800,341575124947598489776722,20241006T080001,20241006T170125,398,299,52,51,127,47
71072,258,430,1457,2056194,65E35C13,20240928T114100,179858748626472487490307,20241006T080001,20241006T170051,390,230,42,54,97,27
71072,258,44,1031,1823964,3ED03EB9,20240928T124600,392080111816154698062790,20241006T080001,20241006T170027,317,198,26,44,82,24
71072,258,510,1066,2056031,1E32B0CA,20240924T183000,674808193668226587536749,20241006T080001,20241006T170400,408,284,32,74,125,42
71072,258,519,1236,2358423,96F8ADA6,20240927T165100,806121312371651411072993,20241006T080001,20241006T170503,396,276,43,54,119,33
71072,258,532,1066,2056864,1E32B0CA,20240924T183300,695010575470457331654846,20241006T080001,20241006T170621,396,294,53,55,120,46
71072,258,571,1066,2056391,1E32B0CA,20240924T185000,705111752671432698306428,20241006T080001,20241006T171302,396,298,51,67,124,41
71072,258,81,1058,2054119,3E90DA1D,20240928T161400,432484105180220502151035,20241006T080001,20241006T170151,321,187,35,38,75,24
71072,258,91,1066,2009959,1E32B0CA,20240924T173200,412282153942992900350371,20241006T080001,20241006T170519,398,279,38,71,116,38
71072,280,104,1090,1821517,71F1C93B,20240929T115000,038477560808448424237761,20241006T080001,20241006T171153,315,185,35,38,90,5
